  [2022-05-06 16:10:18,062], , [restartedMain], user-management-service, INFO  DevToolsPropertyDefaultsPostProcessor logTo | Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
  [2022-05-06 16:10:18,500], , [restartedMain], user-management-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$37420c34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-05-06 16:10:19,330], , [restartedMain], user-management-service, INFO  ConfigServicePropertySourceLocator getRemoteEnvironment | Fetching config from server at : http://172.30.151.100:51000/config
  [2022-05-06 16:10:20,644], , [restartedMain], user-management-service, INFO  ConfigServicePropertySourceLocator log | Located environment: name=user-management-service, profiles=[dev], label=1.0.0, version=221, state=null
  [2022-05-06 16:10:20,644], , [restartedMain], user-management-service, INFO  PropertySourceBootstrapConfiguration initialize | Located property source: CompositePropertySource {name='configService', propertySources=[MapPropertySource {name='configClient'}, MapPropertySource {name='http://172.16.11.166/telemed-ivv/branches/1.0.0/application-dev.properties'}]}
  [2022-05-06 16:10:20,722], , [restartedMain], user-management-service, INFO  UserManagementServiceApplication logStartupProfileInfo | The following profiles are active: dev
  [2022-05-06 16:10:25,519], , [restartedMain], user-management-service, INFO  RepositoryConfigurationDelegate registerRepositoriesIn | Bootstrapping Spring Data repositories in DEFAULT mode.
  [2022-05-06 16:10:25,916], , [restartedMain], user-management-service, INFO  RepositoryConfigurationDelegate registerRepositoriesIn | Finished Spring Data repository scanning in 381ms. Found 20 repository interfaces.
  [2022-05-06 16:10:26,890], , [restartedMain], user-management-service, INFO  GenericScope setSerializationId | BeanFactory id=9eb1641f-158c-3c39-ae91-f40c5f1b3729
  [2022-05-06 16:10:27,712], , [restartedMain], user-management-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1b280937] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-05-06 16:10:27,921], , [restartedMain], user-management-service, INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker postProcessAfterInitialization | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$37420c34] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
  [2022-05-06 16:10:29,869], , [restartedMain], user-management-service, INFO  TomcatWebServer initialize | Tomcat initialized with port(s): 7072 (http)
  [2022-05-06 16:10:29,962], , [restartedMain], user-management-service, INFO  Http11NioProtocol log | Initializing ProtocolHandler ["http-nio-7072"]
  [2022-05-06 16:10:30,127], , [restartedMain], user-management-service, INFO  StandardService log | Starting service [Tomcat]
  [2022-05-06 16:10:30,129], , [restartedMain], user-management-service, INFO  StandardEngine log | Starting Servlet engine: [Apache Tomcat/9.0.16]
  [2022-05-06 16:10:30,183], , [restartedMain], user-management-service, INFO  AprLifecycleListener log | The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\Softwares\eclipse-jee-2020-12-R-win32-x86_64\eclipse\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_15.0.1.v20201027-0507\jre\bin;C:\Windows\Sun\Java\bin;C:\Windows\system32;C:\Windows;D:\Softwares\eclipse-jee-2020-12-R-win32-x86_64\eclipse\plugins\org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_15.0.1.v20201027-0507\jre\bin;D:/Softwares/eclipse-jee-2020-12-R-win32-x86_64/eclipse//plugins/org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_15.0.1.v20201027-0507/jre/bin/server;D:/Softwares/eclipse-jee-2020-12-R-win32-x86_64/eclipse//plugins/org.eclipse.justj.openjdk.hotspot.jre.full.win32.x86_64_15.0.1.v20201027-0507/jre/bin;C:\Program Files\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\CrSSL\bin;C:\Program Files\TortoiseSVN\bin;D:\Softwares\apache-maven-3.6.1\bin;C:\Program Files\TortoiseGit\bin;C:\Program Files\Git\cmd;C:\Program Files\Java\jdk1.8.0_201\bin;C:\Users\DELL\AppData\Local\Microsoft\WindowsApps;;D:\Softwares\eclipse-jee-2020-12-R-win32-x86_64\eclipse;;.]
  [2022-05-06 16:10:30,486], , [restartedMain], user-management-service, INFO  [/usermanagement/v1/user] log | Initializing Spring embedded WebApplicationContext
  [2022-05-06 16:10:30,487], , [restartedMain], user-management-service, INFO  ContextLoader prepareWebApplicationContext | Root WebApplicationContext: initialization completed in 9731 ms
  [2022-05-06 16:10:33,328], , [restartedMain], user-management-service, INFO  HikariDataSource getConnection | HikariPool-1 - Starting...
  [2022-05-06 16:10:34,936], , [restartedMain], user-management-service, INFO  HikariDataSource getConnection | HikariPool-1 - Start completed.
  [2022-05-06 16:10:35,172], , [restartedMain], user-management-service, INFO  LogHelper logPersistenceUnitInformation | HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
  [2022-05-06 16:10:35,342], , [restartedMain], user-management-service, INFO  Version logVersion | HHH000412: Hibernate Core {5.3.7.Final}
  [2022-05-06 16:10:35,344], , [restartedMain], user-management-service, INFO  Environment <clinit> | HHH000206: hibernate.properties not found
  [2022-05-06 16:10:36,026], , [restartedMain], user-management-service, INFO  Version <clinit> | HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
  [2022-05-06 16:10:36,610], , [restartedMain], user-management-service, INFO  Dialect <init> | HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
  [2022-05-06 16:10:36,652], , [restartedMain], user-management-service, INFO  LobCreatorBuilderImpl makeLobCreatorBuilder | HHH000422: Disabling contextual LOB creation as connection was null
  [2022-05-06 16:10:36,665], , [restartedMain], user-management-service, INFO  BasicTypeRegistry register | HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@1d877b9c
  [2022-05-06 16:10:48,941], , [restartedMain], user-management-service, INFO  QueryTranslatorFactoryInitiator initiateService | HHH000397: Using ASTQueryTranslatorFactory
  [2022-05-06 16:10:49,154], , [restartedMain], user-management-service, INFO  LocalContainerEntityManagerFactoryBean buildNativeEntityManagerFactory | Initialized JPA EntityManagerFactory for persistence unit 'default'
  [2022-05-06 16:10:49,446], , [restartedMain], user-management-service, INFO  OptionalLiveReloadServer startServer | LiveReload server is running on port 35729
  [2022-05-06 16:10:53,316], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptorAppConfig.corsConfigurationSource
  [2022-05-06 16:10:53,327], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptorAppConfig.corsConfigurationSource
  [2022-05-06 16:10:53,328], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptorAppConfig.corsConfigurationSource :: 13 ms
  [2022-05-06 16:10:53,987], , [restartedMain], user-management-service, INFO  ThreadPoolTaskExecutor initialize | Initializing ExecutorService 'applicationTaskExecutor'
  [2022-05-06 16:10:54,243], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptorAppConfig.addInterceptors
  [2022-05-06 16:10:54,244], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptorAppConfig.addInterceptors
  [2022-05-06 16:10:54,245], , [restartedMain], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptorAppConfig.addInterceptors :: 2 ms
  [2022-05-06 16:10:54,248], , [restartedMain], user-management-service, WARN  JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration openEntityManagerInViewInterceptor | spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
  [2022-05-06 16:10:56,047], , [restartedMain], user-management-service, INFO  EndpointLinksResolver <init> | Exposing 2 endpoint(s) beneath base path '/actuator'
  [2022-05-06 16:10:56,232], , [restartedMain], user-management-service, INFO  Http11NioProtocol log | Starting ProtocolHandler ["http-nio-7072"]
  [2022-05-06 16:10:56,305], , [restartedMain], user-management-service, INFO  TomcatWebServer start | Tomcat started on port(s): 7072 (http) with context path '/usermanagement/v1/user'
  [2022-05-06 16:10:56,310], , [restartedMain], user-management-service, INFO  UserManagementServiceApplication logStarted | Started UserManagementServiceApplication in 40.983 seconds (JVM running for 50.904)
  [2022-05-06 16:11:06,714], , [http-nio-7072-exec-1], user-management-service, INFO  [/usermanagement/v1/user] log | Initializing Spring DispatcherServlet 'dispatcherServlet'
  [2022-05-06 16:11:06,715], , [http-nio-7072-exec-1], user-management-service, INFO  DispatcherServlet initServletBean | Initializing Servlet 'dispatcherServlet'
  [2022-05-06 16:11:06,801], , [http-nio-7072-exec-1], user-management-service, INFO  DispatcherServlet initServletBean | Completed initialization in 86 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:11:06,884], , [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of CustomInterceptor.preHandle
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:11:06,904], , [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | END of CustomInterceptor.preHandle
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:11:06,905], , [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Execution time of CustomInterceptor.preHandle :: 21 ms
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:11:07,215], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginController.userPasswordChange
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:11:07,279], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoginController userPasswordChange | User Reset Password Request Received
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:11:07,281], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginServiceImpl.userChangePasswordService
  [2022-05-06 16:12:28,304], , [HikariPool-1 housekeeper], user-management-service, WARN  HikariPool run | HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=55s675ms499µs100ns).
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:16,648], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoginServiceImpl userChangePasswordService | Getting user Data from database on the basis of userId
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:23,966], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, INFO  LoggingAspect profileAllMethods | Start of LoginUserRepo.findByUserIdOrMobile
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:26,588], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@608ca5fe (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:26,682], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@7f4ed8a6 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:26,757], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@7ae821e4 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:26,817], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@7f4b8267 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:26,875], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@b251d70 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:26,923], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@2a76f5a (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:26,970], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@397b99eb (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
35cf061d1ce137ae 35cf061d1ce137ae [2022-05-06 16:13:27,020], 0:0:0:0:0:0:0:1, [http-nio-7072-exec-1], user-management-service, WARN  PoolBase isConnectionAlive | HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@1a806c19 (This connection has been closed.). Possibly consider using a shorter maxLifetime value.
